,Date,Ice Level
0,1978-10-01,
1,1978-11-01,
2,1978-12-01,
3,1979-01-01,
4,1979-02-01,
5,1979-03-01,
6,1979-04-01,12.504653149801587
7,1979-05-01,12.406453323412698
8,1979-06-01,12.363417385912697
9,1979-07-01,12.326629017857142
10,1979-08-01,12.294451190476188
11,1979-09-01,12.272752529761902
12,1979-10-01,12.259487599206349
13,1979-11-01,12.256070932539682
14,1979-12-01,12.23983482142857
15,1980-01-01,12.217477008928572
16,1980-02-01,12.206310863095236
17,1980-03-01,12.229608085317459
18,1980-04-01,12.273389161706348
19,1980-05-01,12.309831349206348
20,1980-06-01,12.338850793650794
21,1980-07-01,12.351537425595238
22,1980-08-01,12.338901636904762
23,1980-09-01,12.30719952876984
24,1980-10-01,12.272661507936508
25,1980-11-01,12.255573660714285
26,1980-12-01,12.265330257936508
27,1981-01-01,12.281833209325395
28,1981-02-01,12.283124181547617
29,1981-03-01,12.255267757936506
30,1981-04-01,12.219639285714285
31,1981-05-01,12.187124702380952
32,1981-06-01,12.157721577380952
33,1981-07-01,12.158356473214285
34,1981-08-01,12.184876240079365
35,1981-09-01,12.21745
36,1981-10-01,12.253633680555556
37,1981-11-01,12.279785416666666
38,1981-12-01,12.288864930555555
39,1982-01-01,12.294798090277776
40,1982-02-01,12.3111015625
41,1982-03-01,12.330205208333332
42,1982-04-01,12.36054114583333
43,1982-05-01,12.413177083333332
44,1982-06-01,12.45480798611111
45,1982-07-01,12.457573784722221
46,1982-08-01,12.449171577380952
47,1982-09-01,12.452256349206348
48,1982-10-01,12.441733779761904
49,1982-11-01,12.409407911706348
50,1982-12-01,12.381812599206349
51,1983-01-01,12.38276277281746
52,1983-02-01,12.393160515873014
53,1983-03-01,12.398960863095237
54,1983-04-01,12.399205481150792
55,1983-05-01,12.388644543650791
56,1983-06-01,12.36740166170635
57,1983-07-01,12.333546106150793
58,1983-08-01,12.284530257936508
59,1983-09-01,12.234185416666666
60,1983-10-01,12.20674097222222
61,1983-11-01,12.20373159722222
62,1983-12-01,12.20128888888889
63,1984-01-01,12.170591666666667
64,1984-02-01,12.128610590277777
65,1984-03-01,12.086768402777778
66,1984-04-01,12.029982291666666
67,1984-05-01,11.971943402777777
68,1984-06-01,11.933257291666667
69,1984-07-01,11.930865625
70,1984-08-01,11.948298164682539
71,1984-09-01,11.967819766865079
72,1984-10-01,11.99464494047619
73,1984-11-01,12.029594072420636
74,1984-12-01,12.053098759920635
75,1985-01-01,12.046199975198412
76,1985-02-01,12.021109697420634
77,1985-03-01,12.001245982142857
78,1985-04-01,11.996154489087301
79,1985-05-01,12.0031685515873
80,1985-06-01,12.013314211309524
81,1985-07-01,12.0226998015873
82,1985-08-01,12.042862351190475
83,1985-09-01,12.05714035218254
84,1985-10-01,12.045715178571427
85,1985-11-01,12.00439972718254
86,1985-12-01,11.965359275793649
87,1986-01-01,11.97197472718254
88,1986-02-01,12.012791393849206
89,1986-03-01,12.066570386904761
90,1986-04-01,12.135361879960318
91,1986-05-01,12.192308928571428
92,1986-06-01,12.217360491071428
93,1986-07-01,12.22788878968254
94,1986-08-01,12.24228298611111
95,1986-09-01,12.249439508928571
96,1986-10-01,12.25187857142857
97,1986-11-01,12.27335513392857
98,1986-12-01,12.309734474206348
99,1987-01-01,12.338727356150795
100,1987-02-01,12.326495610119048
101,1987-03-01,12.301011259920635
102,1987-04-01,12.27738101798515
103,1987-05-01,12.249697998271888
104,1987-06-01,12.211732546883
105,1987-07-01,12.18834655455844
106,1987-08-01,12.173926143617292
107,1987-09-01,12.160364675269525
108,1987-10-01,12.16260446581612
109,1987-11-01,12.151371311694255
110,1987-12-01,12.121192324239058
111,1988-01-01,12.07677072365662
112,1988-02-01,12.071262007098763
113,1988-03-01,12.091344335567785
114,1988-04-01,12.09870092158929
115,1988-05-01,12.106745007610796
116,1988-06-01,12.156405357073162
117,1988-07-01,12.195962905177293
118,1988-08-01,12.18664995398326
119,1988-09-01,12.160742492319507
120,1988-10-01,12.10537295826933
121,1988-11-01,12.050719822068611
122,1988-12-01,12.04173474142345
123,1989-01-01,12.067656918842806
124,1989-02-01,12.08062466077829
125,1989-03-01,12.065188280849974
126,1989-04-01,12.03740512672811
127,1989-05-01,12.01566641705069
128,1989-06-01,11.996735503072196
129,1989-07-01,11.979613191244239
130,1989-08-01,11.975883400537635
131,1989-09-01,11.997805491551457
132,1989-10-01,12.029685419866869
133,1989-11-01,12.050659434203787
134,1989-12-01,12.033065392985149
135,1990-01-01,11.971104416282639
136,1990-02-01,11.889129953917049
137,1990-03-01,11.8078873015873
138,1990-04-01,11.7574914234511
139,1990-05-01,11.741491378648233
140,1990-06-01,11.728104237071172
141,1990-07-01,11.69893488223246
142,1990-08-01,11.667783720558113
143,1990-09-01,11.635307290066564
144,1990-10-01,11.625267863543264
145,1990-11-01,11.644307738095236
146,1990-12-01,11.674089279313876
147,1991-01-01,11.704709530209934
148,1991-02-01,11.741596626984126
149,1991-03-01,11.781095417306707
150,1991-04-01,11.797203078597029
151,1991-05-01,11.791614906554019
152,1991-06-01,11.776987756016386
153,1991-07-01,11.78192189580133
154,1991-08-01,11.802404460754452
155,1991-09-01,11.813975735384995
156,1991-10-01,11.809066013162774
157,1991-11-01,11.790715430725498
158,1991-12-01,11.781596792732667
159,1992-01-01,11.816923047212953
160,1992-02-01,11.871881380546286
161,1992-03-01,11.934827348288222
162,1992-04-01,12.008948047212954
163,1992-05-01,12.061954857248796
164,1992-06-01,12.101803065134101
165,1992-07-01,12.131622957607219
166,1992-08-01,12.151494895342267
