,Country,1 meter,4 meters
0,Kuwait,78,194
1,Libya,5708,6101
2,United Arab Emirates,441,1526
3,Algeria,4043,4203
4,Morocco,377,547
5,Yemen,209,530
6,Oman,206,433
7,Iran,1877,5928
8,Qatar,169,509
9,Saudi Arabia,1671,3901
