,Country,1 meter,4 meters
0,Bahamas,,
1,El Salvador,898,3251
2,Jamaica,8,12
3,Brazil,77,138
4,Uruguay,7370,35450
5,Belize,691,1354
6,Suriname,68,139
7,Costa Rica,636,2408
8,Mexico,63,258
9,Puerto Rico,5014,11739
