,Date,Ice Level
0,1978-10-01,
1,1978-11-01,
2,1978-12-01,
3,1979-01-01,
4,1979-02-01,
5,1979-03-01,
6,1979-04-01,11.79198824404762
7,1979-05-01,11.773745188492065
8,1979-06-01,11.70212921626984
9,1979-07-01,11.61881046626984
10,1979-08-01,11.570355704365078
11,1979-09-01,11.52755771329365
12,1979-10-01,11.411517261904761
13,1979-11-01,11.24274503968254
14,1979-12-01,11.089964484126984
15,1980-01-01,10.979582366071426
16,1980-02-01,10.944369692460317
17,1980-03-01,10.974747470238094
18,1980-04-01,11.031793650793649
19,1980-05-01,11.096103720238094
20,1980-06-01,11.16760927579365
21,1980-07-01,11.199690178571426
22,1980-08-01,11.195732589285713
23,1980-09-01,11.202057638888888
24,1980-10-01,11.224146180555554
25,1980-11-01,11.262955555555555
26,1980-12-01,11.309464930555556
27,1981-01-01,11.354988368055555
28,1981-02-01,11.371871527777778
29,1981-03-01,11.359792361111111
30,1981-04-01,11.339169791666666
31,1981-05-01,11.32683888888889
32,1981-06-01,11.356719965277778
33,1981-07-01,11.422850694444442
34,1981-08-01,11.468817013888888
35,1981-09-01,11.516786979166666
36,1981-10-01,11.632651388888888
37,1981-11-01,11.769658680555555
38,1981-12-01,11.840988194444444
39,1982-01-01,11.846890451388889
40,1982-02-01,11.842146875
41,1982-03-01,11.834217708333332
42,1982-04-01,11.80303611111111
43,1982-05-01,11.758032291666666
44,1982-06-01,11.664120659722222
45,1982-07-01,11.573757638888887
46,1982-08-01,11.550933432539681
47,1982-09-01,11.537168427579363
48,1982-10-01,11.473640128968253
49,1982-11-01,11.370104017857141
50,1982-12-01,11.286501240079364
51,1983-01-01,11.23734898313492
52,1983-02-01,11.19801946924603
53,1983-03-01,11.185242212301587
54,1983-04-01,11.200187698412696
55,1983-05-01,11.225377628968253
56,1983-06-01,11.294369642857141
57,1983-07-01,11.343801934523809
58,1983-08-01,11.327766418650793
59,1983-09-01,11.294585069444445
60,1983-10-01,11.275762847222222
61,1983-11-01,11.28301440972222
62,1983-12-01,11.316777083333331
63,1984-01-01,11.379946527777777
64,1984-02-01,11.446824652777778
65,1984-03-01,11.457788888888889
66,1984-04-01,11.426269444444443
67,1984-05-01,11.416980555555554
68,1984-06-01,11.425269097222222
69,1984-07-01,11.415096527777777
70,1984-08-01,11.408258829365078
71,1984-09-01,11.419259499007936
72,1984-10-01,11.426595089285714
73,1984-11-01,11.44641019345238
74,1984-12-01,11.471511408730159
75,1985-01-01,11.451683804563492
76,1985-02-01,11.411291443452381
77,1985-03-01,11.42113501984127
78,1985-04-01,11.469617137896826
79,1985-05-01,11.496202033730158
80,1985-06-01,11.533093700396826
81,1985-07-01,11.610012450396827
82,1985-08-01,11.665160962301588
83,1985-09-01,11.679241245039684
84,1985-10-01,11.673972321428572
85,1985-11-01,11.63377058531746
86,1985-12-01,11.567157738095238
87,1986-01-01,11.519421453373017
88,1986-02-01,11.476191245039683
89,1986-03-01,11.40729732142857
90,1986-04-01,11.322265203373014
91,1986-05-01,11.232502529761902
92,1986-06-01,11.11450825892857
93,1986-07-01,11.03140357142857
94,1986-08-01,11.021583630952382
95,1986-09-01,11.041372023809522
96,1986-10-01,11.075778273809522
97,1986-11-01,11.109521676587299
98,1986-12-01,11.1260123015873
99,1987-01-01,11.144016294642856
100,1987-02-01,11.189740401785713
101,1987-03-01,11.240804960317458
102,1987-04-01,11.284692325908857
103,1987-05-01,11.329186635944698
104,1987-06-01,11.508460073444699
105,1987-07-01,11.6091359232254
106,1987-08-01,11.539266475900192
107,1987-09-01,11.517825597477074
108,1987-10-01,11.490488523104315
109,1987-11-01,11.465433953211843
110,1987-12-01,11.478629383319369
111,1988-01-01,11.495528616070265
112,1988-02-01,11.491223880567194
113,1988-03-01,11.489586578979893
114,1988-04-01,11.520756113030071
115,1988-05-01,11.572860369302473
116,1988-06-01,11.499742851381326
117,1988-07-01,11.44146207888557
118,1988-08-01,11.483610664075602
119,1988-09-01,11.485819591653865
120,1988-10-01,11.48498473502304
121,1988-11-01,11.514723803123399
122,1988-12-01,11.563994815668202
123,1989-01-01,11.58272550563236
124,1989-02-01,11.577165021761392
125,1989-03-01,11.565436347926266
126,1989-04-01,11.536641813876088
127,1989-05-01,11.498343113159242
128,1989-06-01,11.430121025345622
129,1989-07-01,11.384599519969278
130,1989-08-01,11.392480856374807
131,1989-09-01,11.396532891705068
132,1989-10-01,11.427044450844853
133,1989-11-01,11.431706547619047
134,1989-12-01,11.386738088837685
135,1990-01-01,11.360188984895032
136,1990-02-01,11.358612371991807
137,1990-03-01,11.3658515296979
138,1990-04-01,11.372566493855608
139,1990-05-01,11.365237013568867
140,1990-06-01,11.359023124679979
141,1990-07-01,11.383476081669226
142,1990-08-01,11.408301062467999
143,1990-09-01,11.40687604326677
144,1990-10-01,11.402479000256015
145,1990-11-01,11.42821233358935
146,1990-12-01,11.450994278033793
147,1991-01-01,11.449421383768561
148,1991-02-01,11.454879717101894
149,1991-03-01,11.46617622247824
150,1991-04-01,11.469991545058884
151,1991-05-01,11.473624923195086
152,1991-06-01,11.488376580901177
153,1991-07-01,11.473769054019456
154,1991-08-01,11.435722598632518
155,1991-09-01,11.412502756148807
156,1991-10-01,11.391964628908664
157,1991-11-01,11.366379458657768
158,1991-12-01,11.340885955073537
159,1992-01-01,11.344504010629095
160,1992-02-01,11.359173365467802
161,1992-03-01,11.352617720306512
162,1992-04-01,11.346420946112964
163,1992-05-01,11.360114449697194
164,1992-06-01,11.373672200593251
165,1992-07-01,11.360086179087876
