,Date,Ice Extent,Ice Extent YEarly Average
0,1978-10-26,17.624000000000002,
1,1978-10-28,17.803,
2,1978-10-30,17.67,
3,1978-11-01,17.527,
4,1978-11-03,17.486,
5,1978-11-05,17.343,
6,1978-11-07,17.157,
7,1978-11-09,17.028,
8,1978-11-11,16.815,
9,1978-11-13,16.371,
10,1978-11-15,16.176,
11,1978-11-17,15.52,
12,1978-11-19,15.267000000000001,
13,1978-11-21,15.027000000000001,
14,1978-11-23,14.681,
15,1978-11-25,14.449000000000002,
16,1978-11-27,13.98,
17,1978-11-29,13.619000000000002,
18,1978-12-01,13.33,
19,1978-12-03,13.097000000000001,
20,1978-12-05,12.829,
21,1978-12-07,12.436,
22,1978-12-09,11.963,
23,1978-12-11,11.652000000000001,
24,1978-12-13,11.148,
25,1978-12-15,10.664000000000001,
26,1978-12-17,10.238999999999999,
27,1978-12-19,9.758,
28,1978-12-21,9.362,
29,1978-12-23,8.706,
30,1978-12-25,8.362,
31,1978-12-27,7.907,
32,1978-12-29,7.587999999999999,
33,1978-12-31,7.2829999999999995,
34,1979-01-02,6.945,
35,1979-01-04,6.837999999999999,
36,1979-01-06,6.638,
37,1979-01-08,6.27,
38,1979-01-10,6.138,
39,1979-01-12,5.952000000000001,
40,1979-01-14,5.564,
41,1979-01-16,5.379,
42,1979-01-18,5.233,
43,1979-01-20,4.984,
44,1979-01-22,4.609,
45,1979-01-24,4.397,
46,1979-01-26,4.184,
47,1979-01-28,4.004,
48,1979-01-30,3.898,
49,1979-02-01,3.7039999999999997,
50,1979-02-03,3.516,
51,1979-02-05,3.367,
52,1979-02-07,3.326,
53,1979-02-09,3.2119999999999997,
54,1979-02-11,3.043,
55,1979-02-13,3.049,
56,1979-02-15,2.9160000000000004,
57,1979-02-17,2.911,
58,1979-02-19,2.95,
59,1979-02-21,2.945,
60,1979-02-23,2.924,
61,1979-02-25,2.9960000000000004,
62,1979-02-27,3.116,
63,1979-03-01,3.248,
64,1979-03-03,3.0789999999999997,
65,1979-03-05,3.228,
66,1979-03-07,3.3080000000000003,
67,1979-03-09,3.366,
68,1979-03-11,3.443,
69,1979-03-13,3.594,
70,1979-03-15,3.721,
71,1979-03-17,3.832,
72,1979-03-19,4.091,
73,1979-03-21,4.248,
74,1979-03-23,4.5,
75,1979-03-25,4.8180000000000005,
76,1979-03-27,4.894,
77,1979-03-29,5.207999999999999,
78,1979-03-31,5.4110000000000005,
79,1979-04-02,5.649,
80,1979-04-04,5.8260000000000005,
81,1979-04-06,6.152,
82,1979-04-08,6.409,
83,1979-04-10,6.806,
84,1979-04-12,7.149,
85,1979-04-14,7.309,
86,1979-04-16,7.587000000000001,
87,1979-04-18,7.742000000000001,
88,1979-04-20,8.01,
89,1979-04-22,8.273,
90,1979-04-24,8.572000000000001,
91,1979-04-26,8.791,
92,1979-04-28,8.97,
93,1979-04-30,9.038,
94,1979-05-02,9.162,
95,1979-05-04,9.498,
96,1979-05-06,9.968,
97,1979-05-08,9.847999999999999,
98,1979-05-10,10.109,
99,1979-05-12,10.342,
100,1979-05-14,10.655999999999999,
101,1979-05-16,10.953,
102,1979-05-18,11.145,
103,1979-05-20,11.273,
104,1979-05-22,11.458,
105,1979-05-24,11.634,
106,1979-05-26,11.868,
107,1979-05-28,12.116,
108,1979-05-30,12.37,
109,1979-06-01,12.654000000000002,
110,1979-06-03,13.061,
111,1979-06-05,13.24,
112,1979-06-07,13.452,
113,1979-06-09,13.523,
114,1979-06-11,13.661,
115,1979-06-13,13.748,
116,1979-06-15,13.952,
117,1979-06-17,14.26,
118,1979-06-19,14.588,
119,1979-06-21,14.909,
120,1979-06-23,15.227,
121,1979-06-25,15.370999999999999,
122,1979-06-27,15.513,
123,1979-06-29,15.645999999999999,
124,1979-07-01,15.685,
125,1979-07-03,15.779000000000002,
126,1979-07-05,15.895999999999999,
127,1979-07-07,15.947000000000001,
128,1979-07-09,16.128,
129,1979-07-11,16.235,
130,1979-07-13,16.408,
131,1979-07-15,16.588,
132,1979-07-17,16.660999999999998,
133,1979-07-19,16.794,
134,1979-07-21,16.864,
135,1979-07-23,16.93,
136,1979-07-25,17.144000000000002,
137,1979-07-27,17.042,
138,1979-07-29,17.11,
139,1979-07-31,17.059,
