dt,AverageTemperature
1770-03-01,0.31599999999999984
1770-04-01,8.689
1770-05-01,14.3
1770-06-01,19.44
1770-07-01,22.242
1770-08-01,21.352
1770-09-01,16.363999999999994
1770-10-01,8.748
1770-11-01,4.558
1770-12-01,-1.092
1771-01-01,-0.03900000000000015
1771-02-01,-4.02
1771-03-01,2.995
1771-04-01,8.771
1771-05-01,16.185000000000002
1771-06-01,20.092
1771-07-01,22.235
1771-08-01,22.534
1771-09-01,16.857999999999997
1771-10-01,12.686
1771-11-01,6.34
1771-12-01,-2.468
1772-01-01,-3.74
1772-02-01,-1.8980000000000001
1772-03-01,-0.5390000000000001
1772-04-01,9.009
1772-05-01,13.882
1772-06-01,19.348
1772-07-01,22.871
1772-08-01,21.212
1772-09-01,15.342999999999998
1772-10-01,11.550999999999998
1772-11-01,5.988
1772-12-01,2.6670000000000003
1773-01-01,-2.708
1773-02-01,-5.051
1773-03-01,2.469
1773-04-01,9.441
1773-05-01,16.254
1773-06-01,20.253
1773-07-01,23.244
1773-08-01,21.524
1773-09-01,18.22
1773-10-01,11.592
1773-11-01,3.929
1773-12-01,1.778
1774-01-01,-6.386
1774-02-01,-1.681
1774-03-01,3.005
1774-04-01,12.664000000000001
1774-06-01,19.994
1774-07-01,23.026
1774-08-01,21.752
1774-09-01,16.54
1774-10-01,12.922999999999998
1774-11-01,4.453
1774-12-01,-1.597
1775-01-01,-1.1269999999999998
1775-02-01,1.335
1775-03-01,4.784
1775-04-01,8.367
1775-05-01,17.038
1775-06-01,18.539
1775-07-01,22.648000000000003
1775-08-01,21.225
1775-09-01,16.406999999999996
1775-10-01,10.712
1775-11-01,5.265
1775-12-01,-2.279
1776-01-01,-4.4060000000000015
1776-02-01,-1.976
1776-03-01,1.712
1776-04-01,8.185
1776-06-01,19.891
1776-07-01,21.538
1776-08-01,21.448
1776-09-01,17.418999999999997
1776-10-01,11.0
1776-11-01,5.6610000000000005
1776-12-01,-0.0020000000000000018
1777-01-01,-1.7029999999999998
1777-02-01,-1.6769999999999998
1777-03-01,2.658
1777-04-01,7.0939999999999985
1777-05-01,13.042000000000002
1777-06-01,18.438
1777-07-01,19.05
1777-08-01,21.208
1777-09-01,15.557999999999998
1777-10-01,10.008
1777-11-01,3.394
1777-12-01,-1.889
1778-01-01,-2.395
1778-05-01,13.965
1778-06-01,18.564
1778-10-01,11.454999999999998
1778-11-01,2.461
1778-12-01,-2.739
1779-01-01,-3.5980000000000003
1779-02-01,2.204
1779-03-01,2.134
1781-01-01,-0.665
1781-02-01,-0.6480000000000001
1781-03-01,2.728
